"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5448","Successful login with valid credentials","","Wed Apr 15 13:38:50 UTC 2026","passed","Wed Apr 15 13:38:56 UTC 2026","","","",""
"","4328","Login fails with empty fields - 7 -- @1.2 ","","Wed Apr 15 13:39:11 UTC 2026","passed","Wed Apr 15 13:39:15 UTC 2026","","","",""
"","5398","Login fails with invalid password","","Wed Apr 15 13:39:01 UTC 2026","passed","Wed Apr 15 13:39:07 UTC 2026","","","",""
"","4319","Login fails with empty fields - 8 -- @1.3 ","","Wed Apr 15 13:39:15 UTC 2026","passed","Wed Apr 15 13:39:20 UTC 2026","","","",""
"","4309","Login fails with empty fields - 6 -- @1.1 ","","Wed Apr 15 13:39:07 UTC 2026","passed","Wed Apr 15 13:39:11 UTC 2026","","","",""
"","5472","Logout returns to login page","","Wed Apr 15 13:39:24 UTC 2026","passed","Wed Apr 15 13:39:29 UTC 2026","","","",""
"","5390","Login fails with invalid email","","Wed Apr 15 13:38:56 UTC 2026","passed","Wed Apr 15 13:39:01 UTC 2026","","","",""
"","4865","Home page loads successfully","","Wed Apr 15 13:38:41 UTC 2026","passed","Wed Apr 15 13:38:46 UTC 2026","","","",""
"","4202","Back to home link works","","Wed Apr 15 13:39:20 UTC 2026","passed","Wed Apr 15 13:39:24 UTC 2026","","","",""
"","4253","Login link navigates to login page","","Wed Apr 15 13:38:46 UTC 2026","passed","Wed Apr 15 13:38:50 UTC 2026","","","",""
